Epoch,MSE,RMSE,Accuracy,Precision,Recall,F1Score
1,0.175047,0.418387,0.704,0.408,0.408,0.408
2,0.150283,0.387663,0.777333,0.554667,0.554667,0.554667
3,0.149339,0.386444,0.777333,0.554667,0.554667,0.554667
4,0.149134,0.386178,0.777333,0.554667,0.554667,0.554667
5,0.149042,0.386059,0.777333,0.554667,0.554667,0.554667
6,0.148989,0.385991,0.777333,0.554667,0.554667,0.554667
7,0.148957,0.38595,0.777333,0.554667,0.554667,0.554667
8,0.14894,0.385928,0.777333,0.554667,0.554667,0.554667
9,0.148935,0.385921,0.777333,0.554667,0.554667,0.554667
10,0.148939,0.385926,0.777333,0.554667,0.554667,0.554667
11,0.148949,0.385939,0.777333,0.554667,0.554667,0.554667
12,0.148964,0.385958,0.777333,0.554667,0.554667,0.554667
13,0.148983,0.385983,0.777333,0.554667,0.554667,0.554667
14,0.149004,0.386011,0.777333,0.554667,0.554667,0.554667
15,0.149028,0.386041,0.777333,0.554667,0.554667,0.554667
16,0.149052,0.386073,0.777333,0.554667,0.554667,0.554667
17,0.149078,0.386106,0.777333,0.554667,0.554667,0.554667
18,0.149104,0.38614,0.777333,0.554667,0.554667,0.554667
19,0.14913,0.386173,0.777333,0.554667,0.554667,0.554667
20,0.149156,0.386207,0.777333,0.554667,0.554667,0.554667
21,0.149182,0.38624,0.777333,0.554667,0.554667,0.554667
22,0.149207,0.386273,0.777333,0.554667,0.554667,0.554667
23,0.149232,0.386305,0.777333,0.554667,0.554667,0.554667
24,0.149256,0.386337,0.777333,0.554667,0.554667,0.554667
25,0.149279,0.386367,0.777333,0.554667,0.554667,0.554667
26,0.149302,0.386396,0.777333,0.554667,0.554667,0.554667
27,0.149323,0.386423,0.777333,0.554667,0.554667,0.554667
28,0.149343,0.386449,0.777333,0.554667,0.554667,0.554667
29,0.149362,0.386474,0.777333,0.554667,0.554667,0.554667
30,0.149379,0.386496,0.777333,0.554667,0.554667,0.554667
31,0.149395,0.386517,0.777333,0.554667,0.554667,0.554667
32,0.149409,0.386535,0.777333,0.554667,0.554667,0.554667
33,0.149421,0.386551,0.777333,0.554667,0.554667,0.554667
34,0.149431,0.386564,0.777333,0.554667,0.554667,0.554667
35,0.149439,0.386574,0.777333,0.554667,0.554667,0.554667
36,0.149444,0.38658,0.777333,0.554667,0.554667,0.554667
