Epoch,MSE,RMSE,Accuracy,Precision,Recall,F1Score
1,0.158142,0.39767,0.766667,0.533333,0.533333,0.533333
2,0.178432,0.422412,0.704167,0.408333,0.408333,0.408333
3,0.180424,0.424763,0.7,0.4,0.4,0.4
4,0.180087,0.424367,0.691667,0.383333,0.383333,0.383333
5,0.178793,0.422839,0.695833,0.391667,0.391667,0.391667
6,0.176591,0.420227,0.704167,0.408333,0.408333,0.408333
7,0.173419,0.416436,0.708333,0.416667,0.416667,0.416667
8,0.169251,0.411401,0.720833,0.441667,0.441667,0.441667
9,0.164135,0.405136,0.745833,0.491667,0.491667,0.491667
10,0.158204,0.397748,0.775,0.55,0.55,0.55
11,0.151655,0.389429,0.791667,0.583333,0.583333,0.583333
12,0.144729,0.380432,0.808333,0.616667,0.616667,0.616667
13,0.137666,0.371033,0.825,0.65,0.65,0.65
14,0.130674,0.361489,0.858333,0.716667,0.716667,0.716667
15,0.123909,0.352007,0.866667,0.733333,0.733333,0.733333
16,0.117471,0.34274,0.870833,0.741667,0.741667,0.741667
17,0.111411,0.333783,0.883333,0.766667,0.766667,0.766667
18,0.105749,0.325191,0.9125,0.825,0.825,0.825
19,0.100484,0.316992,0.916667,0.833333,0.833333,0.833333
20,0.0956004,0.309193,0.925,0.85,0.85,0.85
21,0.0910795,0.301794,0.929167,0.858333,0.858333,0.858333
22,0.086898,0.294785,0.941667,0.883333,0.883333,0.883333
23,0.083032,0.288153,0.941667,0.883333,0.883333,0.883333
24,0.0794572,0.281882,0.941667,0.883333,0.883333,0.883333
25,0.0761501,0.275953,0.945833,0.891667,0.891667,0.891667
26,0.073088,0.270348,0.945833,0.891667,0.891667,0.891667
27,0.0702497,0.265047,0.945833,0.891667,0.891667,0.891667
28,0.0676156,0.26003,0.954167,0.908333,0.908333,0.908333
29,0.0651678,0.25528,0.9625,0.925,0.925,0.925
30,0.0628899,0.250779,0.9625,0.925,0.925,0.925
31,0.0607672,0.24651,0.966667,0.933333,0.933333,0.933333
32,0.0587865,0.242459,0.966667,0.933333,0.933333,0.933333
33,0.0569359,0.238612,0.966667,0.933333,0.933333,0.933333
34,0.0552048,0.234957,0.966667,0.933333,0.933333,0.933333
35,0.0535838,0.231482,0.9625,0.925,0.925,0.925
36,0.0520642,0.228176,0.9625,0.925,0.925,0.925
37,0.0506385,0.22503,0.9625,0.925,0.925,0.925
38,0.0492997,0.222035,0.966667,0.933333,0.933333,0.933333
39,0.0480415,0.219184,0.966667,0.933333,0.933333,0.933333
40,0.0468582,0.216468,0.970833,0.941667,0.941667,0.941667
41,0.0457446,0.21388,0.970833,0.941667,0.941667,0.941667
42,0.0446958,0.211414,0.970833,0.941667,0.941667,0.941667
43,0.0437076,0.209064,0.970833,0.941667,0.941667,0.941667
44,0.0427758,0.206823,0.970833,0.941667,0.941667,0.941667
45,0.0418967,0.204687,0.975,0.95,0.95,0.95
46,0.0410669,0.20265,0.975,0.95,0.95,0.95
47,0.0402832,0.200707,0.975,0.95,0.95,0.95
48,0.0395425,0.198853,0.975,0.95,0.95,0.95
49,0.0388422,0.197084,0.975,0.95,0.95,0.95
50,0.0381796,0.195396,0.975,0.95,0.95,0.95
51,0.0375523,0.193784,0.975,0.95,0.95,0.95
52,0.0369581,0.192245,0.975,0.95,0.95,0.95
53,0.036395,0.190775,0.975,0.95,0.95,0.95
54,0.0358609,0.18937,0.975,0.95,0.95,0.95
55,0.0353541,0.188027,0.975,0.95,0.95,0.95
56,0.0348729,0.186743,0.975,0.95,0.95,0.95
57,0.0344156,0.185515,0.975,0.95,0.95,0.95
58,0.0339809,0.184339,0.975,0.95,0.95,0.95
59,0.0335673,0.183214,0.975,0.95,0.95,0.95
60,0.0331736,0.182136,0.975,0.95,0.95,0.95
61,0.0327985,0.181104,0.975,0.95,0.95,0.95
62,0.032441,0.180114,0.975,0.95,0.95,0.95
63,0.0320999,0.179165,0.975,0.95,0.95,0.95
64,0.0317744,0.178254,0.975,0.95,0.95,0.95
65,0.0314635,0.17738,0.975,0.95,0.95,0.95
66,0.0311663,0.17654,0.975,0.95,0.95,0.95
67,0.0308821,0.175733,0.975,0.95,0.95,0.95
68,0.0306101,0.174957,0.975,0.95,0.95,0.95
69,0.0303495,0.174211,0.975,0.95,0.95,0.95
70,0.0300999,0.173493,0.975,0.95,0.95,0.95
71,0.0298604,0.172802,0.975,0.95,0.95,0.95
72,0.0296307,0.172136,0.975,0.95,0.95,0.95
73,0.0294101,0.171494,0.975,0.95,0.95,0.95
74,0.0291981,0.170875,0.975,0.95,0.95,0.95
75,0.0289943,0.170277,0.970833,0.941667,0.941667,0.941667
76,0.0287983,0.169701,0.970833,0.941667,0.941667,0.941667
77,0.0286096,0.169144,0.970833,0.941667,0.941667,0.941667
78,0.0284277,0.168605,0.970833,0.941667,0.941667,0.941667
79,0.0282525,0.168085,0.970833,0.941667,0.941667,0.941667
80,0.0280835,0.167581,0.970833,0.941667,0.941667,0.941667
81,0.0279204,0.167094,0.970833,0.941667,0.941667,0.941667
82,0.027763,0.166622,0.970833,0.941667,0.941667,0.941667
83,0.0276108,0.166165,0.970833,0.941667,0.941667,0.941667
84,0.0274638,0.165722,0.970833,0.941667,0.941667,0.941667
85,0.0273215,0.165292,0.970833,0.941667,0.941667,0.941667
86,0.0271839,0.164875,0.970833,0.941667,0.941667,0.941667
87,0.0270506,0.164471,0.970833,0.941667,0.941667,0.941667
88,0.0269214,0.164077,0.975,0.95,0.95,0.95
89,0.0267962,0.163696,0.975,0.95,0.95,0.95
90,0.0266748,0.163324,0.975,0.95,0.95,0.95
91,0.026557,0.162963,0.975,0.95,0.95,0.95
92,0.0264427,0.162612,0.975,0.95,0.95,0.95
93,0.0263316,0.16227,0.975,0.95,0.95,0.95
94,0.0262236,0.161937,0.975,0.95,0.95,0.95
95,0.0261187,0.161613,0.975,0.95,0.95,0.95
96,0.0260166,0.161297,0.975,0.95,0.95,0.95
97,0.0259173,0.160988,0.975,0.95,0.95,0.95
98,0.0258205,0.160688,0.975,0.95,0.95,0.95
99,0.0257263,0.160394,0.975,0.95,0.95,0.95
100,0.0256346,0.160108,0.975,0.95,0.95,0.95
101,0.0255451,0.159828,0.975,0.95,0.95,0.95
102,0.0254578,0.159555,0.975,0.95,0.95,0.95
103,0.0253727,0.159288,0.975,0.95,0.95,0.95
104,0.0252896,0.159027,0.975,0.95,0.95,0.95
105,0.0252085,0.158772,0.975,0.95,0.95,0.95
106,0.0251292,0.158522,0.975,0.95,0.95,0.95
107,0.0250518,0.158278,0.975,0.95,0.95,0.95
108,0.0249761,0.158038,0.975,0.95,0.95,0.95
109,0.0249021,0.157804,0.975,0.95,0.95,0.95
110,0.0248297,0.157575,0.975,0.95,0.95,0.95
111,0.0247589,0.15735,0.975,0.95,0.95,0.95
112,0.0246896,0.157129,0.975,0.95,0.95,0.95
113,0.0246217,0.156913,0.975,0.95,0.95,0.95
114,0.0245552,0.156701,0.975,0.95,0.95,0.95
115,0.02449,0.156493,0.975,0.95,0.95,0.95
116,0.0244261,0.156289,0.975,0.95,0.95,0.95
117,0.0243635,0.156088,0.975,0.95,0.95,0.95
118,0.0243021,0.155891,0.975,0.95,0.95,0.95
119,0.0242419,0.155698,0.975,0.95,0.95,0.95
120,0.0241828,0.155508,0.975,0.95,0.95,0.95
121,0.0241248,0.155322,0.975,0.95,0.95,0.95
122,0.0240679,0.155138,0.975,0.95,0.95,0.95
123,0.0240119,0.154958,0.975,0.95,0.95,0.95
124,0.023957,0.15478,0.975,0.95,0.95,0.95
125,0.023903,0.154606,0.975,0.95,0.95,0.95
126,0.02385,0.154434,0.975,0.95,0.95,0.95
127,0.0237978,0.154265,0.975,0.95,0.95,0.95
128,0.0237465,0.154099,0.975,0.95,0.95,0.95
129,0.0236961,0.153935,0.975,0.95,0.95,0.95
130,0.0236465,0.153774,0.975,0.95,0.95,0.95
131,0.0235977,0.153615,0.975,0.95,0.95,0.95
132,0.0235496,0.153459,0.975,0.95,0.95,0.95
133,0.0235024,0.153305,0.975,0.95,0.95,0.95
134,0.0234558,0.153153,0.975,0.95,0.95,0.95
135,0.02341,0.153003,0.975,0.95,0.95,0.95
136,0.0233648,0.152856,0.975,0.95,0.95,0.95
137,0.0233203,0.15271,0.975,0.95,0.95,0.95
138,0.0232765,0.152566,0.975,0.95,0.95,0.95
139,0.0232333,0.152425,0.975,0.95,0.95,0.95
140,0.0231907,0.152285,0.975,0.95,0.95,0.95
141,0.0231487,0.152147,0.975,0.95,0.95,0.95
142,0.0231073,0.152011,0.975,0.95,0.95,0.95
143,0.0230665,0.151877,0.975,0.95,0.95,0.95
144,0.0230262,0.151744,0.975,0.95,0.95,0.95
145,0.0229865,0.151613,0.975,0.95,0.95,0.95
146,0.0229473,0.151484,0.975,0.95,0.95,0.95
147,0.0229086,0.151356,0.975,0.95,0.95,0.95
148,0.0228705,0.15123,0.975,0.95,0.95,0.95
149,0.0228328,0.151105,0.975,0.95,0.95,0.95
150,0.0227956,0.150982,0.975,0.95,0.95,0.95
151,0.0227588,0.15086,0.975,0.95,0.95,0.95
152,0.0227226,0.15074,0.975,0.95,0.95,0.95
153,0.0226867,0.150621,0.975,0.95,0.95,0.95
154,0.0226513,0.150504,0.975,0.95,0.95,0.95
155,0.0226164,0.150387,0.975,0.95,0.95,0.95
156,0.0225818,0.150272,0.975,0.95,0.95,0.95
157,0.0225477,0.150159,0.975,0.95,0.95,0.95
158,0.0225139,0.150046,0.975,0.95,0.95,0.95
159,0.0224806,0.149935,0.975,0.95,0.95,0.95
160,0.0224476,0.149825,0.975,0.95,0.95,0.95
161,0.022415,0.149716,0.975,0.95,0.95,0.95
162,0.0223828,0.149609,0.975,0.95,0.95,0.95
163,0.0223509,0.149502,0.975,0.95,0.95,0.95
164,0.0223194,0.149397,0.975,0.95,0.95,0.95
165,0.0222882,0.149292,0.975,0.95,0.95,0.95
166,0.0222574,0.149189,0.975,0.95,0.95,0.95
167,0.0222269,0.149087,0.975,0.95,0.95,0.95
168,0.0221967,0.148986,0.975,0.95,0.95,0.95
169,0.0221668,0.148885,0.975,0.95,0.95,0.95
170,0.0221373,0.148786,0.975,0.95,0.95,0.95
171,0.022108,0.148688,0.975,0.95,0.95,0.95
172,0.0220791,0.14859,0.975,0.95,0.95,0.95
173,0.0220504,0.148494,0.975,0.95,0.95,0.95
174,0.0220221,0.148398,0.975,0.95,0.95,0.95
175,0.021994,0.148304,0.975,0.95,0.95,0.95
176,0.0219662,0.14821,0.975,0.95,0.95,0.95
177,0.0219387,0.148117,0.975,0.95,0.95,0.95
178,0.0219115,0.148025,0.975,0.95,0.95,0.95
179,0.0218845,0.147934,0.975,0.95,0.95,0.95
180,0.0218578,0.147844,0.975,0.95,0.95,0.95
181,0.0218313,0.147754,0.975,0.95,0.95,0.95
182,0.0218051,0.147665,0.975,0.95,0.95,0.95
183,0.0217791,0.147577,0.975,0.95,0.95,0.95
184,0.0217534,0.14749,0.975,0.95,0.95,0.95
185,0.0217279,0.147404,0.975,0.95,0.95,0.95
186,0.0217027,0.147318,0.975,0.95,0.95,0.95
187,0.0216776,0.147233,0.975,0.95,0.95,0.95
188,0.0216529,0.147149,0.975,0.95,0.95,0.95
189,0.0216283,0.147066,0.975,0.95,0.95,0.95
190,0.021604,0.146983,0.975,0.95,0.95,0.95
191,0.0215798,0.146901,0.975,0.95,0.95,0.95
192,0.0215559,0.146819,0.975,0.95,0.95,0.95
193,0.0215322,0.146739,0.975,0.95,0.95,0.95
194,0.0215087,0.146659,0.975,0.95,0.95,0.95
195,0.0214854,0.146579,0.975,0.95,0.95,0.95
196,0.0214624,0.1465,0.975,0.95,0.95,0.95
197,0.0214395,0.146422,0.975,0.95,0.95,0.95
198,0.0214168,0.146345,0.975,0.95,0.95,0.95
199,0.0213943,0.146268,0.975,0.95,0.95,0.95
200,0.021372,0.146192,0.975,0.95,0.95,0.95
201,0.0213498,0.146116,0.975,0.95,0.95,0.95
202,0.0213279,0.146041,0.975,0.95,0.95,0.95
203,0.0213061,0.145966,0.975,0.95,0.95,0.95
204,0.0212846,0.145892,0.975,0.95,0.95,0.95
205,0.0212632,0.145819,0.975,0.95,0.95,0.95
206,0.0212419,0.145746,0.975,0.95,0.95,0.95
207,0.0212209,0.145674,0.975,0.95,0.95,0.95
208,0.0212,0.145602,0.975,0.95,0.95,0.95
209,0.0211793,0.145531,0.975,0.95,0.95,0.95
210,0.0211587,0.14546,0.975,0.95,0.95,0.95
211,0.0211383,0.14539,0.975,0.95,0.95,0.95
212,0.0211181,0.145321,0.975,0.95,0.95,0.95
213,0.021098,0.145252,0.975,0.95,0.95,0.95
214,0.0210781,0.145183,0.975,0.95,0.95,0.95
215,0.0210583,0.145115,0.975,0.95,0.95,0.95
