Epoch,MSE,RMSE,Accuracy,Precision,Recall,F1Score
1,0.18689,0.432308,0.654167,0.308333,0.308333,0.308333
2,0.183451,0.428311,0.675,0.35,0.35,0.35
3,0.180532,0.424891,0.7,0.4,0.4,0.4
4,0.178263,0.422213,0.7,0.4,0.4,0.4
5,0.176307,0.41989,0.695833,0.391667,0.391667,0.391667
6,0.174507,0.41774,0.708333,0.416667,0.416667,0.416667
7,0.172768,0.415654,0.725,0.45,0.45,0.45
8,0.171034,0.413563,0.729167,0.458333,0.458333,0.458333
9,0.169275,0.41143,0.7375,0.475,0.475,0.475
10,0.167476,0.409239,0.754167,0.508333,0.508333,0.508333
11,0.165638,0.406986,0.758333,0.516667,0.516667,0.516667
12,0.163767,0.404681,0.766667,0.533333,0.533333,0.533333
13,0.161876,0.402339,0.7625,0.525,0.525,0.525
14,0.159981,0.399976,0.775,0.55,0.55,0.55
15,0.158095,0.397612,0.7875,0.575,0.575,0.575
16,0.156234,0.395265,0.804167,0.608333,0.608333,0.608333
17,0.154411,0.392951,0.804167,0.608333,0.608333,0.608333
18,0.152636,0.390686,0.8125,0.625,0.625,0.625
19,0.150918,0.388482,0.804167,0.608333,0.608333,0.608333
20,0.149264,0.386347,0.808333,0.616667,0.616667,0.616667
21,0.147679,0.38429,0.804167,0.608333,0.608333,0.608333
22,0.146165,0.382316,0.8,0.6,0.6,0.6
23,0.144724,0.380426,0.795833,0.591667,0.591667,0.591667
24,0.143356,0.378624,0.791667,0.583333,0.583333,0.583333
25,0.14206,0.376909,0.795833,0.591667,0.591667,0.591667
26,0.140835,0.37528,0.795833,0.591667,0.591667,0.591667
27,0.139677,0.373734,0.804167,0.608333,0.608333,0.608333
28,0.138586,0.372271,0.8,0.6,0.6,0.6
29,0.137556,0.370886,0.7875,0.575,0.575,0.575
30,0.136587,0.369577,0.791667,0.583333,0.583333,0.583333
31,0.135674,0.368339,0.7875,0.575,0.575,0.575
32,0.134814,0.36717,0.791667,0.583333,0.583333,0.583333
33,0.134004,0.366066,0.791667,0.583333,0.583333,0.583333
34,0.133242,0.365023,0.791667,0.583333,0.583333,0.583333
35,0.132524,0.364038,0.795833,0.591667,0.591667,0.591667
36,0.131847,0.363108,0.791667,0.583333,0.583333,0.583333
37,0.131209,0.362228,0.791667,0.583333,0.583333,0.583333
38,0.130608,0.361398,0.791667,0.583333,0.583333,0.583333
39,0.130041,0.360612,0.791667,0.583333,0.583333,0.583333
40,0.129506,0.35987,0.791667,0.583333,0.583333,0.583333
41,0.129001,0.359167,0.795833,0.591667,0.591667,0.591667
42,0.128524,0.358502,0.8,0.6,0.6,0.6
43,0.128073,0.357873,0.795833,0.591667,0.591667,0.591667
44,0.127647,0.357277,0.795833,0.591667,0.591667,0.591667
45,0.127244,0.356713,0.795833,0.591667,0.591667,0.591667
46,0.126863,0.356178,0.795833,0.591667,0.591667,0.591667
47,0.126502,0.355672,0.795833,0.591667,0.591667,0.591667
48,0.126161,0.355191,0.795833,0.591667,0.591667,0.591667
49,0.125837,0.354736,0.795833,0.591667,0.591667,0.591667
50,0.125531,0.354304,0.795833,0.591667,0.591667,0.591667
51,0.125241,0.353894,0.795833,0.591667,0.591667,0.591667
