Epoch,MSE,RMSE,Accuracy,Precision,Recall,F1Score
1,0.146386,0.382604,0.7875,0.575,0.575,0.575
2,0.173393,0.416404,0.725,0.45,0.45,0.45
3,0.178124,0.422047,0.704167,0.408333,0.408333,0.408333
4,0.178613,0.422626,0.7,0.4,0.4,0.4
5,0.177546,0.421362,0.7,0.4,0.4,0.4
6,0.175401,0.418809,0.704167,0.408333,0.408333,0.408333
7,0.172232,0.415009,0.7125,0.425,0.425,0.425
8,0.168048,0.409937,0.720833,0.441667,0.441667,0.441667
9,0.162911,0.403623,0.745833,0.491667,0.491667,0.491667
10,0.15696,0.396181,0.775,0.55,0.55,0.55
11,0.150399,0.387813,0.8,0.6,0.6,0.6
12,0.143473,0.378779,0.8125,0.625,0.625,0.625
13,0.136426,0.369359,0.833333,0.666667,0.666667,0.666667
14,0.129465,0.359813,0.858333,0.716667,0.716667,0.716667
15,0.122745,0.35035,0.870833,0.741667,0.741667,0.741667
16,0.116362,0.341119,0.883333,0.766667,0.766667,0.766667
17,0.110364,0.332211,0.891667,0.783333,0.783333,0.783333
18,0.104768,0.323679,0.916667,0.833333,0.833333,0.833333
19,0.0995681,0.315544,0.916667,0.833333,0.833333,0.833333
20,0.0947485,0.307812,0.925,0.85,0.85,0.85
21,0.0902877,0.300479,0.9375,0.875,0.875,0.875
22,0.0861618,0.293533,0.941667,0.883333,0.883333,0.883333
23,0.0823464,0.286961,0.945833,0.891667,0.891667,0.891667
24,0.0788173,0.280744,0.945833,0.891667,0.891667,0.891667
25,0.075551,0.274865,0.945833,0.891667,0.891667,0.891667
26,0.0725255,0.269306,0.945833,0.891667,0.891667,0.891667
27,0.06972,0.264045,0.95,0.9,0.9,0.9
28,0.0671155,0.259067,0.958333,0.916667,0.916667,0.916667
29,0.0646944,0.254351,0.9625,0.925,0.925,0.925
30,0.0624408,0.249882,0.966667,0.933333,0.933333,0.933333
31,0.0603406,0.245643,0.966667,0.933333,0.933333,0.933333
32,0.0583806,0.241621,0.966667,0.933333,0.933333,0.933333
33,0.0565495,0.237801,0.966667,0.933333,0.933333,0.933333
34,0.0548367,0.234172,0.966667,0.933333,0.933333,0.933333
35,0.0532329,0.230723,0.9625,0.925,0.925,0.925
36,0.0517297,0.227442,0.9625,0.925,0.925,0.925
37,0.0503196,0.22432,0.966667,0.933333,0.933333,0.933333
38,0.0489956,0.22135,0.970833,0.941667,0.941667,0.941667
39,0.0477516,0.218521,0.970833,0.941667,0.941667,0.941667
40,0.0465818,0.215828,0.970833,0.941667,0.941667,0.941667
41,0.045481,0.213263,0.970833,0.941667,0.941667,0.941667
42,0.0444446,0.210819,0.970833,0.941667,0.941667,0.941667
43,0.0434681,0.20849,0.970833,0.941667,0.941667,0.941667
44,0.0425476,0.206271,0.970833,0.941667,0.941667,0.941667
45,0.0416792,0.204155,0.975,0.95,0.95,0.95
46,0.0408596,0.202137,0.975,0.95,0.95,0.95
47,0.0400855,0.200214,0.975,0.95,0.95,0.95
48,0.039354,0.198379,0.975,0.95,0.95,0.95
49,0.0386625,0.196628,0.975,0.95,0.95,0.95
50,0.0380082,0.194957,0.975,0.95,0.95,0.95
51,0.0373888,0.193362,0.975,0.95,0.95,0.95
52,0.0368021,0.191839,0.975,0.95,0.95,0.95
53,0.036246,0.190384,0.975,0.95,0.95,0.95
54,0.0357187,0.188994,0.975,0.95,0.95,0.95
55,0.0352183,0.187665,0.975,0.95,0.95,0.95
56,0.0347431,0.186395,0.975,0.95,0.95,0.95
57,0.0342916,0.18518,0.975,0.95,0.95,0.95
58,0.0338623,0.184017,0.975,0.95,0.95,0.95
59,0.0334538,0.182904,0.975,0.95,0.95,0.95
60,0.033065,0.181838,0.975,0.95,0.95,0.95
61,0.0326945,0.180816,0.975,0.95,0.95,0.95
62,0.0323414,0.179837,0.975,0.95,0.95,0.95
63,0.0320045,0.178898,0.975,0.95,0.95,0.95
64,0.0316829,0.177997,0.975,0.95,0.95,0.95
65,0.0313756,0.177132,0.975,0.95,0.95,0.95
66,0.031082,0.176301,0.975,0.95,0.95,0.95
67,0.0308011,0.175502,0.975,0.95,0.95,0.95
68,0.0305322,0.174735,0.975,0.95,0.95,0.95
69,0.0302747,0.173996,0.975,0.95,0.95,0.95
70,0.0300279,0.173286,0.975,0.95,0.95,0.95
71,0.0297912,0.172601,0.975,0.95,0.95,0.95
72,0.029564,0.171942,0.975,0.95,0.95,0.95
73,0.0293458,0.171306,0.975,0.95,0.95,0.95
74,0.0291362,0.170693,0.970833,0.941667,0.941667,0.941667
75,0.0289345,0.170102,0.970833,0.941667,0.941667,0.941667
76,0.0287406,0.16953,0.970833,0.941667,0.941667,0.941667
77,0.0285538,0.168979,0.970833,0.941667,0.941667,0.941667
78,0.0283738,0.168445,0.970833,0.941667,0.941667,0.941667
79,0.0282004,0.16793,0.975,0.95,0.95,0.95
80,0.028033,0.167431,0.975,0.95,0.95,0.95
81,0.0278715,0.166948,0.975,0.95,0.95,0.95
82,0.0277155,0.16648,0.975,0.95,0.95,0.95
83,0.0275648,0.166027,0.975,0.95,0.95,0.95
84,0.0274191,0.165587,0.975,0.95,0.95,0.95
