Epoch,MSE,RMSE,Accuracy,Precision,Recall,F1Score
1,0.151752,0.389553,0.779167,0.558333,0.558333,0.558333
2,0.166955,0.408601,0.741667,0.483333,0.483333,0.483333
3,0.163733,0.404639,0.7375,0.475,0.475,0.475
4,0.157302,0.396613,0.7625,0.525,0.525,0.525
5,0.148787,0.385729,0.783333,0.566667,0.566667,0.566667
6,0.14851,0.38537,0.770833,0.541667,0.541667,0.541667
7,0.14935,0.386459,0.770833,0.541667,0.541667,0.541667
8,0.140308,0.374578,0.7875,0.575,0.575,0.575
9,0.141298,0.375897,0.758333,0.516667,0.516667,0.516667
10,0.153202,0.39141,0.766667,0.533333,0.533333,0.533333
11,0.131787,0.363025,0.795833,0.591667,0.591667,0.591667
12,0.14347,0.378774,0.775,0.55,0.55,0.55
13,0.136351,0.369258,0.783333,0.566667,0.566667,0.566667
14,0.136176,0.36902,0.8,0.6,0.6,0.6
15,0.144802,0.380529,0.758333,0.516667,0.516667,0.516667
16,0.135689,0.36836,0.779167,0.558333,0.558333,0.558333
17,0.13575,0.368442,0.791667,0.583333,0.583333,0.583333
18,0.145151,0.380987,0.75,0.5,0.5,0.5
19,0.152587,0.390624,0.7625,0.525,0.525,0.525
20,0.134448,0.366671,0.8125,0.625,0.625,0.625
21,0.143793,0.379201,0.783333,0.566667,0.566667,0.566667
22,0.148353,0.385166,0.745833,0.491667,0.491667,0.491667
23,0.1401,0.374299,0.7875,0.575,0.575,0.575
24,0.139713,0.373781,0.783333,0.566667,0.566667,0.566667
25,0.13493,0.367328,0.795833,0.591667,0.591667,0.591667
26,0.139109,0.372973,0.7875,0.575,0.575,0.575
27,0.141029,0.375538,0.766667,0.533333,0.533333,0.533333
28,0.132948,0.36462,0.8,0.6,0.6,0.6
29,0.134371,0.366566,0.8125,0.625,0.625,0.625
30,0.132788,0.364401,0.808333,0.616667,0.616667,0.616667
31,0.139761,0.373846,0.791667,0.583333,0.583333,0.583333
32,0.141132,0.375675,0.7875,0.575,0.575,0.575
33,0.135349,0.367899,0.8,0.6,0.6,0.6
34,0.141693,0.376421,0.791667,0.583333,0.583333,0.583333
35,0.125868,0.354779,0.808333,0.616667,0.616667,0.616667
36,0.147709,0.384329,0.783333,0.566667,0.566667,0.566667
37,0.132082,0.363431,0.7875,0.575,0.575,0.575
38,0.130773,0.361626,0.791667,0.583333,0.583333,0.583333
39,0.145426,0.381348,0.779167,0.558333,0.558333,0.558333
40,0.134139,0.366249,0.783333,0.566667,0.566667,0.566667
41,0.139388,0.373347,0.783333,0.566667,0.566667,0.566667
