Epoch,MSE,RMSE,Accuracy,Precision,Recall,F1Score
1,0.155016,0.393721,0.768667,0.537333,0.537333,0.537333
2,0.152212,0.390144,0.769333,0.538667,0.538667,0.538667
3,0.15088,0.388432,0.772,0.544,0.544,0.544
4,0.148958,0.385951,0.78,0.56,0.56,0.56
5,0.147476,0.384026,0.787333,0.574667,0.574667,0.574667
6,0.146493,0.382744,0.79,0.58,0.58,0.58
7,0.145849,0.381901,0.792,0.584,0.584,0.584
8,0.145405,0.381321,0.794,0.588,0.588,0.588
9,0.145072,0.380883,0.793333,0.586667,0.586667,0.586667
10,0.144788,0.38051,0.794,0.588,0.588,0.588
11,0.144512,0.380148,0.794,0.588,0.588,0.588
12,0.144217,0.37976,0.794667,0.589333,0.589333,0.589333
13,0.143887,0.379324,0.792,0.584,0.584,0.584
14,0.143515,0.378833,0.793333,0.586667,0.586667,0.586667
15,0.143105,0.378293,0.793333,0.586667,0.586667,0.586667
16,0.142673,0.377721,0.793333,0.586667,0.586667,0.586667
17,0.142238,0.377144,0.794,0.588,0.588,0.588
18,0.14182,0.37659,0.795333,0.590667,0.590667,0.590667
19,0.141438,0.376083,0.794667,0.589333,0.589333,0.589333
20,0.141104,0.375638,0.796,0.592,0.592,0.592
21,0.140821,0.375262,0.795333,0.590667,0.590667,0.590667
22,0.140591,0.374955,0.796667,0.593333,0.593333,0.593333
23,0.14041,0.374713,0.797333,0.594667,0.594667,0.594667
24,0.140272,0.374528,0.797333,0.594667,0.594667,0.594667
25,0.14017,0.374393,0.796667,0.593333,0.593333,0.593333
26,0.1401,0.374299,0.795333,0.590667,0.590667,0.590667
27,0.140055,0.37424,0.796,0.592,0.592,0.592
28,0.140032,0.374209,0.796,0.592,0.592,0.592
29,0.140026,0.374201,0.795333,0.590667,0.590667,0.590667
30,0.140035,0.374212,0.794667,0.589333,0.589333,0.589333
31,0.140054,0.374238,0.795333,0.590667,0.590667,0.590667
32,0.140083,0.374277,0.794667,0.589333,0.589333,0.589333
33,0.140119,0.374325,0.795333,0.590667,0.590667,0.590667
34,0.140161,0.374381,0.795333,0.590667,0.590667,0.590667
35,0.140208,0.374443,0.795333,0.590667,0.590667,0.590667
36,0.140258,0.37451,0.794,0.588,0.588,0.588
37,0.140311,0.374581,0.794,0.588,0.588,0.588
38,0.140366,0.374655,0.793333,0.586667,0.586667,0.586667
39,0.140423,0.374731,0.792667,0.585333,0.585333,0.585333
40,0.140481,0.374808,0.793333,0.586667,0.586667,0.586667
41,0.14054,0.374886,0.793333,0.586667,0.586667,0.586667
42,0.140599,0.374965,0.793333,0.586667,0.586667,0.586667
43,0.140658,0.375044,0.793333,0.586667,0.586667,0.586667
44,0.140717,0.375123,0.793333,0.586667,0.586667,0.586667
45,0.140776,0.375201,0.793333,0.586667,0.586667,0.586667
46,0.140835,0.375279,0.793333,0.586667,0.586667,0.586667
47,0.140892,0.375356,0.794,0.588,0.588,0.588
48,0.14095,0.375433,0.794,0.588,0.588,0.588
49,0.141007,0.375508,0.794667,0.589333,0.589333,0.589333
50,0.141063,0.375583,0.795333,0.590667,0.590667,0.590667
51,0.141118,0.375656,0.795333,0.590667,0.590667,0.590667
52,0.141172,0.375729,0.795333,0.590667,0.590667,0.590667
53,0.141226,0.3758,0.796667,0.593333,0.593333,0.593333
54,0.141278,0.37587,0.797333,0.594667,0.594667,0.594667
55,0.14133,0.375939,0.798667,0.597333,0.597333,0.597333
56,0.141381,0.376006,0.798667,0.597333,0.597333,0.597333
57,0.141431,0.376073,0.798667,0.597333,0.597333,0.597333
58,0.14148,0.376138,0.798667,0.597333,0.597333,0.597333
59,0.141528,0.376202,0.799333,0.598667,0.598667,0.598667
60,0.141576,0.376265,0.8,0.6,0.6,0.6
61,0.141622,0.376327,0.8,0.6,0.6,0.6
62,0.141668,0.376388,0.8,0.6,0.6,0.6
63,0.141712,0.376447,0.8,0.6,0.6,0.6
64,0.141756,0.376505,0.8,0.6,0.6,0.6
65,0.1418,0.376563,0.8,0.6,0.6,0.6
66,0.141842,0.376619,0.8,0.6,0.6,0.6
67,0.141883,0.376674,0.8,0.6,0.6,0.6
68,0.141924,0.376728,0.8,0.6,0.6,0.6
69,0.141964,0.376781,0.8,0.6,0.6,0.6
70,0.142003,0.376833,0.800667,0.601333,0.601333,0.601333
71,0.142042,0.376885,0.801333,0.602667,0.602667,0.602667
72,0.14208,0.376935,0.802,0.604,0.604,0.604
73,0.142117,0.376984,0.802,0.604,0.604,0.604
74,0.142153,0.377032,0.802,0.604,0.604,0.604
75,0.142189,0.37708,0.802,0.604,0.604,0.604
76,0.142224,0.377126,0.802,0.604,0.604,0.604
77,0.142258,0.377172,0.802,0.604,0.604,0.604
78,0.142292,0.377216,0.802,0.604,0.604,0.604
79,0.142325,0.37726,0.802,0.604,0.604,0.604
80,0.142358,0.377304,0.802667,0.605333,0.605333,0.605333
81,0.14239,0.377346,0.802667,0.605333,0.605333,0.605333
82,0.142421,0.377387,0.802667,0.605333,0.605333,0.605333
83,0.142452,0.377428,0.802667,0.605333,0.605333,0.605333
84,0.142482,0.377468,0.802,0.604,0.604,0.604
85,0.142512,0.377508,0.802,0.604,0.604,0.604
86,0.142541,0.377546,0.802,0.604,0.604,0.604
87,0.14257,0.377584,0.802,0.604,0.604,0.604
88,0.142598,0.377621,0.802,0.604,0.604,0.604
89,0.142625,0.377658,0.802,0.604,0.604,0.604
90,0.142652,0.377693,0.801333,0.602667,0.602667,0.602667
91,0.142679,0.377728,0.801333,0.602667,0.602667,0.602667
92,0.142705,0.377763,0.801333,0.602667,0.602667,0.602667
93,0.14273,0.377797,0.801333,0.602667,0.602667,0.602667
94,0.142756,0.37783,0.801333,0.602667,0.602667,0.602667
95,0.14278,0.377863,0.801333,0.602667,0.602667,0.602667
96,0.142804,0.377895,0.801333,0.602667,0.602667,0.602667
97,0.142828,0.377926,0.801333,0.602667,0.602667,0.602667
98,0.142851,0.377957,0.801333,0.602667,0.602667,0.602667
