Epoch,MSE,RMSE,Accuracy,Precision,Recall,F1Score
1,0.161466,0.401828,0.768667,0.537333,0.537333,0.537333
2,0.158525,0.398151,0.769333,0.538667,0.538667,0.538667
3,0.154254,0.392752,0.771333,0.542667,0.542667,0.542667
4,0.152088,0.389985,0.776,0.552,0.552,0.552
5,0.15101,0.3886,0.778,0.556,0.556,0.556
6,0.150457,0.387888,0.778667,0.557333,0.557333,0.557333
7,0.150158,0.387502,0.778667,0.557333,0.557333,0.557333
8,0.14999,0.387286,0.779333,0.558667,0.558667,0.558667
9,0.149898,0.387167,0.78,0.56,0.56,0.56
10,0.149853,0.387108,0.778,0.556,0.556,0.556
11,0.149837,0.387088,0.778,0.556,0.556,0.556
12,0.149841,0.387093,0.778667,0.557333,0.557333,0.557333
13,0.149856,0.387113,0.777333,0.554667,0.554667,0.554667
14,0.149879,0.387142,0.777333,0.554667,0.554667,0.554667
15,0.149904,0.387174,0.777333,0.554667,0.554667,0.554667
16,0.149929,0.387206,0.777333,0.554667,0.554667,0.554667
17,0.149952,0.387237,0.776667,0.553333,0.553333,0.553333
18,0.149973,0.387263,0.776667,0.553333,0.553333,0.553333
19,0.14999,0.387285,0.776667,0.553333,0.553333,0.553333
20,0.150004,0.387303,0.776,0.552,0.552,0.552
21,0.150014,0.387316,0.776,0.552,0.552,0.552
22,0.150021,0.387325,0.776,0.552,0.552,0.552
23,0.150025,0.38733,0.776,0.552,0.552,0.552
24,0.150026,0.387332,0.776,0.552,0.552,0.552
25,0.150026,0.387331,0.776,0.552,0.552,0.552
26,0.150023,0.387328,0.776,0.552,0.552,0.552
27,0.15002,0.387324,0.776,0.552,0.552,0.552
28,0.150015,0.387317,0.775333,0.550667,0.550667,0.550667
29,0.150009,0.38731,0.775333,0.550667,0.550667,0.550667
30,0.150003,0.387302,0.775333,0.550667,0.550667,0.550667
31,0.149996,0.387293,0.775333,0.550667,0.550667,0.550667
32,0.149989,0.387284,0.776,0.552,0.552,0.552
33,0.149981,0.387274,0.776,0.552,0.552,0.552
34,0.149974,0.387265,0.776,0.552,0.552,0.552
35,0.149966,0.387255,0.776,0.552,0.552,0.552
36,0.149959,0.387245,0.776,0.552,0.552,0.552
37,0.149951,0.387236,0.776667,0.553333,0.553333,0.553333
38,0.149944,0.387226,0.776667,0.553333,0.553333,0.553333
39,0.149937,0.387217,0.776667,0.553333,0.553333,0.553333
40,0.149929,0.387207,0.776667,0.553333,0.553333,0.553333
41,0.149922,0.387198,0.776667,0.553333,0.553333,0.553333
42,0.149916,0.387189,0.776667,0.553333,0.553333,0.553333
43,0.149909,0.387181,0.777333,0.554667,0.554667,0.554667
44,0.149902,0.387172,0.778,0.556,0.556,0.556
45,0.149896,0.387164,0.778,0.556,0.556,0.556
46,0.149889,0.387156,0.778,0.556,0.556,0.556
47,0.149883,0.387148,0.778,0.556,0.556,0.556
