Epoch,MSE,RMSE,Accuracy,Precision,Recall,F1Score
1,0.179037,0.423127,0.708667,0.417333,0.417333,0.417333
2,0.151576,0.389327,0.769333,0.538667,0.538667,0.538667
3,0.150787,0.388313,0.769333,0.538667,0.538667,0.538667
4,0.150681,0.388176,0.769333,0.538667,0.538667,0.538667
5,0.150575,0.38804,0.769333,0.538667,0.538667,0.538667
6,0.150431,0.387855,0.769333,0.538667,0.538667,0.538667
7,0.150254,0.387626,0.769333,0.538667,0.538667,0.538667
8,0.150037,0.387346,0.769333,0.538667,0.538667,0.538667
9,0.149768,0.386999,0.769333,0.538667,0.538667,0.538667
10,0.149433,0.386565,0.769333,0.538667,0.538667,0.538667
11,0.149017,0.386027,0.769333,0.538667,0.538667,0.538667
12,0.148507,0.385367,0.769333,0.538667,0.538667,0.538667
13,0.147894,0.38457,0.769333,0.538667,0.538667,0.538667
14,0.147168,0.383625,0.769333,0.538667,0.538667,0.538667
15,0.146324,0.382524,0.769333,0.538667,0.538667,0.538667
16,0.145358,0.381258,0.769333,0.538667,0.538667,0.538667
17,0.144267,0.379824,0.769333,0.538667,0.538667,0.538667
18,0.143051,0.378221,0.769333,0.538667,0.538667,0.538667
19,0.141712,0.376447,0.769333,0.538667,0.538667,0.538667
20,0.140254,0.374505,0.769333,0.538667,0.538667,0.538667
21,0.138681,0.372399,0.769333,0.538667,0.538667,0.538667
22,0.137001,0.370136,0.771333,0.542667,0.542667,0.542667
23,0.135222,0.367725,0.778667,0.557333,0.557333,0.557333
24,0.133354,0.365176,0.790667,0.581333,0.581333,0.581333
25,0.13141,0.362506,0.807333,0.614667,0.614667,0.614667
26,0.129405,0.35973,0.818667,0.637333,0.637333,0.637333
27,0.127355,0.356868,0.826667,0.653333,0.653333,0.653333
28,0.125276,0.353943,0.832,0.664,0.664,0.664
29,0.123185,0.350976,0.840667,0.681333,0.681333,0.681333
30,0.121096,0.347988,0.849333,0.698667,0.698667,0.698667
