Epoch,MSE,RMSE,Accuracy,Precision,Recall,F1Score
1,0.177606,0.421433,0.714583,0.429167,0.429167,0.429167
2,0.183344,0.428187,0.670833,0.341667,0.341667,0.341667
3,0.184956,0.430065,0.664583,0.329167,0.329167,0.329167
4,0.185193,0.43034,0.6625,0.325,0.325,0.325
5,0.185115,0.43025,0.664583,0.329167,0.329167,0.329167
6,0.184922,0.430025,0.658333,0.316667,0.316667,0.316667
7,0.184648,0.429706,0.65625,0.3125,0.3125,0.3125
8,0.184291,0.429291,0.660417,0.320833,0.320833,0.320833
9,0.183844,0.42877,0.666667,0.333333,0.333333,0.333333
10,0.183295,0.42813,0.675,0.35,0.35,0.35
11,0.182637,0.42736,0.68125,0.3625,0.3625,0.3625
12,0.18186,0.42645,0.691667,0.383333,0.383333,0.383333
13,0.180957,0.42539,0.7,0.4,0.4,0.4
14,0.179922,0.424172,0.7125,0.425,0.425,0.425
15,0.178751,0.422789,0.7125,0.425,0.425,0.425
16,0.177441,0.421237,0.722917,0.445833,0.445833,0.445833
17,0.175991,0.419513,0.747917,0.495833,0.495833,0.495833
18,0.174403,0.417616,0.75625,0.5125,0.5125,0.5125
19,0.17268,0.415548,0.76875,0.5375,0.5375,0.5375
20,0.170828,0.413313,0.779167,0.558333,0.558333,0.558333
21,0.168853,0.410917,0.789583,0.579167,0.579167,0.579167
22,0.166764,0.408368,0.795833,0.591667,0.591667,0.591667
23,0.164574,0.405677,0.804167,0.608333,0.608333,0.608333
24,0.162294,0.402857,0.8125,0.625,0.625,0.625
25,0.159937,0.399922,0.827083,0.654167,0.654167,0.654167
26,0.157519,0.396886,0.833333,0.666667,0.666667,0.666667
27,0.155053,0.393767,0.839583,0.679167,0.679167,0.679167
28,0.152553,0.390581,0.84375,0.6875,0.6875,0.6875
29,0.150035,0.387343,0.854167,0.708333,0.708333,0.708333
30,0.14751,0.38407,0.860417,0.720833,0.720833,0.720833
31,0.144992,0.380778,0.8625,0.725,0.725,0.725
32,0.14249,0.377478,0.864583,0.729167,0.729167,0.729167
33,0.140014,0.374185,0.866667,0.733333,0.733333,0.733333
34,0.137573,0.370908,0.877083,0.754167,0.754167,0.754167
35,0.135171,0.367657,0.879167,0.758333,0.758333,0.758333
36,0.132816,0.364439,0.885417,0.770833,0.770833,0.770833
37,0.13051,0.361261,0.8875,0.775,0.775,0.775
38,0.128255,0.358127,0.8875,0.775,0.775,0.775
39,0.126054,0.355041,0.895833,0.791667,0.791667,0.791667
40,0.123908,0.352005,0.897917,0.795833,0.795833,0.795833
41,0.121815,0.349021,0.904167,0.808333,0.808333,0.808333
42,0.119777,0.346088,0.90625,0.8125,0.8125,0.8125
43,0.117792,0.343209,0.90625,0.8125,0.8125,0.8125
44,0.115859,0.340381,0.908333,0.816667,0.816667,0.816667
45,0.113977,0.337605,0.910417,0.820833,0.820833,0.820833
46,0.112144,0.334879,0.914583,0.829167,0.829167,0.829167
47,0.110358,0.332202,0.914583,0.829167,0.829167,0.829167
48,0.108619,0.329574,0.922917,0.845833,0.845833,0.845833
49,0.106924,0.326992,0.925,0.85,0.85,0.85
50,0.105272,0.324456,0.925,0.85,0.85,0.85
51,0.103661,0.321964,0.927083,0.854167,0.854167,0.854167
52,0.10209,0.319516,0.929167,0.858333,0.858333,0.858333
53,0.100558,0.317109,0.93125,0.8625,0.8625,0.8625
54,0.0990627,0.314742,0.9375,0.875,0.875,0.875
55,0.0976034,0.312415,0.9375,0.875,0.875,0.875
56,0.0961789,0.310127,0.941667,0.883333,0.883333,0.883333
57,0.0947879,0.307876,0.945833,0.891667,0.891667,0.891667
58,0.0934295,0.305662,0.945833,0.891667,0.891667,0.891667
59,0.0921025,0.303484,0.945833,0.891667,0.891667,0.891667
60,0.0908061,0.30134,0.945833,0.891667,0.891667,0.891667
61,0.0895392,0.299231,0.947917,0.895833,0.895833,0.895833
