Epoch,MSE,RMSE,Accuracy,Precision,Recall,F1Score
1,0.130805,0.361669,0.8,0.6,0.6,0.6
2,0.146879,0.383248,0.783333,0.566667,0.566667,0.566667
3,0.147388,0.383911,0.779167,0.558333,0.558333,0.558333
4,0.147904,0.384583,0.783333,0.566667,0.566667,0.566667
5,0.147371,0.383889,0.791667,0.583333,0.583333,0.583333
6,0.14752,0.384084,0.783333,0.566667,0.566667,0.566667
7,0.147559,0.384134,0.7875,0.575,0.575,0.575
8,0.147003,0.38341,0.779167,0.558333,0.558333,0.558333
9,0.145611,0.38159,0.7875,0.575,0.575,0.575
10,0.146482,0.38273,0.791667,0.583333,0.583333,0.583333
11,0.142103,0.376966,0.779167,0.558333,0.558333,0.558333
12,0.145337,0.381231,0.779167,0.558333,0.558333,0.558333
13,0.14244,0.377413,0.775,0.55,0.55,0.55
14,0.14128,0.375872,0.7875,0.575,0.575,0.575
15,0.143044,0.378212,0.783333,0.566667,0.566667,0.566667
16,0.141014,0.375519,0.7875,0.575,0.575,0.575
17,0.142274,0.377193,0.779167,0.558333,0.558333,0.558333
18,0.141065,0.375587,0.779167,0.558333,0.558333,0.558333
19,0.141856,0.376638,0.783333,0.566667,0.566667,0.566667
20,0.138917,0.372715,0.804167,0.608333,0.608333,0.608333
21,0.140498,0.37483,0.791667,0.583333,0.583333,0.583333
22,0.142089,0.376947,0.783333,0.566667,0.566667,0.566667
23,0.143438,0.378732,0.758333,0.516667,0.516667,0.516667
24,0.139921,0.37406,0.795833,0.591667,0.591667,0.591667
25,0.138705,0.372432,0.8,0.6,0.6,0.6
26,0.138353,0.371959,0.795833,0.591667,0.591667,0.591667
27,0.140113,0.374317,0.783333,0.566667,0.566667,0.566667
28,0.137876,0.371317,0.7875,0.575,0.575,0.575
29,0.139936,0.37408,0.783333,0.566667,0.566667,0.566667
30,0.138957,0.372769,0.775,0.55,0.55,0.55
31,0.143193,0.378408,0.783333,0.566667,0.566667,0.566667
32,0.134994,0.367415,0.8,0.6,0.6,0.6
33,0.141654,0.37637,0.783333,0.566667,0.566667,0.566667
34,0.140154,0.374372,0.775,0.55,0.55,0.55
35,0.137839,0.371267,0.770833,0.541667,0.541667,0.541667
36,0.140957,0.375442,0.7875,0.575,0.575,0.575
37,0.137662,0.371028,0.7875,0.575,0.575,0.575
38,0.137195,0.370398,0.783333,0.566667,0.566667,0.566667
39,0.13856,0.372237,0.808333,0.616667,0.616667,0.616667
40,0.138639,0.372343,0.779167,0.558333,0.558333,0.558333
41,0.136803,0.369868,0.7875,0.575,0.575,0.575
42,0.140154,0.374371,0.775,0.55,0.55,0.55
43,0.140067,0.374255,0.783333,0.566667,0.566667,0.566667
44,0.134719,0.367041,0.7875,0.575,0.575,0.575
45,0.13656,0.36954,0.8,0.6,0.6,0.6
46,0.138315,0.371907,0.795833,0.591667,0.591667,0.591667
47,0.136153,0.368989,0.808333,0.616667,0.616667,0.616667
48,0.139392,0.373352,0.775,0.55,0.55,0.55
49,0.137875,0.371315,0.791667,0.583333,0.583333,0.583333
50,0.133686,0.36563,0.8125,0.625,0.625,0.625
51,0.138922,0.372723,0.775,0.55,0.55,0.55
52,0.142458,0.377436,0.758333,0.516667,0.516667,0.516667
53,0.136943,0.370058,0.7875,0.575,0.575,0.575
54,0.140927,0.375403,0.8,0.6,0.6,0.6
55,0.14029,0.374552,0.779167,0.558333,0.558333,0.558333
56,0.141447,0.376095,0.775,0.55,0.55,0.55
57,0.137482,0.370786,0.804167,0.608333,0.608333,0.608333
58,0.140349,0.374631,0.791667,0.583333,0.583333,0.583333
59,0.133864,0.365874,0.8,0.6,0.6,0.6
60,0.13559,0.368225,0.7875,0.575,0.575,0.575
61,0.135796,0.368506,0.8,0.6,0.6,0.6
62,0.13307,0.364787,0.795833,0.591667,0.591667,0.591667
63,0.136489,0.369444,0.8,0.6,0.6,0.6
64,0.14335,0.378616,0.779167,0.558333,0.558333,0.558333
65,0.138689,0.37241,0.783333,0.566667,0.566667,0.566667
66,0.140667,0.375056,0.7875,0.575,0.575,0.575
67,0.137032,0.370178,0.775,0.55,0.55,0.55
68,0.144349,0.379933,0.770833,0.541667,0.541667,0.541667
69,0.137509,0.370822,0.783333,0.566667,0.566667,0.566667
70,0.139495,0.37349,0.783333,0.566667,0.566667,0.566667
71,0.133737,0.365701,0.795833,0.591667,0.591667,0.591667
72,0.13481,0.367164,0.816667,0.633333,0.633333,0.633333
73,0.135691,0.368363,0.795833,0.591667,0.591667,0.591667
74,0.138544,0.372215,0.783333,0.566667,0.566667,0.566667
75,0.132863,0.364504,0.795833,0.591667,0.591667,0.591667
76,0.137921,0.371377,0.783333,0.566667,0.566667,0.566667
77,0.137476,0.370778,0.804167,0.608333,0.608333,0.608333
78,0.138983,0.372804,0.775,0.55,0.55,0.55
79,0.142398,0.377356,0.775,0.55,0.55,0.55
80,0.134604,0.366884,0.808333,0.616667,0.616667,0.616667
81,0.140736,0.375147,0.783333,0.566667,0.566667,0.566667
82,0.142237,0.377143,0.783333,0.566667,0.566667,0.566667
83,0.137918,0.371373,0.8,0.6,0.6,0.6
84,0.135126,0.367595,0.783333,0.566667,0.566667,0.566667
85,0.139058,0.372904,0.770833,0.541667,0.541667,0.541667
86,0.143262,0.3785,0.770833,0.541667,0.541667,0.541667
87,0.139236,0.373144,0.783333,0.566667,0.566667,0.566667
88,0.140377,0.374669,0.766667,0.533333,0.533333,0.533333
89,0.13946,0.373443,0.7875,0.575,0.575,0.575
90,0.138739,0.372477,0.779167,0.558333,0.558333,0.558333
91,0.134609,0.366891,0.7875,0.575,0.575,0.575
92,0.141778,0.376534,0.766667,0.533333,0.533333,0.533333
93,0.136817,0.369888,0.791667,0.583333,0.583333,0.583333
94,0.141587,0.376281,0.770833,0.541667,0.541667,0.541667
95,0.134049,0.366128,0.808333,0.616667,0.616667,0.616667
96,0.14555,0.38151,0.766667,0.533333,0.533333,0.533333
97,0.135097,0.367556,0.7875,0.575,0.575,0.575
98,0.140804,0.375239,0.7875,0.575,0.575,0.575
99,0.143639,0.378997,0.7625,0.525,0.525,0.525
100,0.132145,0.363518,0.8125,0.625,0.625,0.625
101,0.138107,0.371628,0.770833,0.541667,0.541667,0.541667
102,0.138554,0.372228,0.795833,0.591667,0.591667,0.591667
103,0.134401,0.366608,0.791667,0.583333,0.583333,0.583333
104,0.139271,0.37319,0.795833,0.591667,0.591667,0.591667
105,0.137997,0.37148,0.779167,0.558333,0.558333,0.558333
106,0.136427,0.369361,0.7875,0.575,0.575,0.575
107,0.133809,0.3658,0.808333,0.616667,0.616667,0.616667
108,0.132249,0.363661,0.804167,0.608333,0.608333,0.608333
109,0.139663,0.373716,0.783333,0.566667,0.566667,0.566667
110,0.13902,0.372854,0.7875,0.575,0.575,0.575
111,0.135693,0.368365,0.770833,0.541667,0.541667,0.541667
112,0.138969,0.372786,0.7875,0.575,0.575,0.575
113,0.136279,0.36916,0.766667,0.533333,0.533333,0.533333
114,0.140448,0.374764,0.770833,0.541667,0.541667,0.541667
115,0.137461,0.370757,0.791667,0.583333,0.583333,0.583333
116,0.143631,0.378987,0.775,0.55,0.55,0.55
117,0.134436,0.366655,0.8,0.6,0.6,0.6
118,0.142286,0.377208,0.775,0.55,0.55,0.55
119,0.13477,0.36711,0.804167,0.608333,0.608333,0.608333
120,0.141263,0.37585,0.775,0.55,0.55,0.55
121,0.133955,0.365999,0.791667,0.583333,0.583333,0.583333
122,0.137654,0.371017,0.795833,0.591667,0.591667,0.591667
