Epoch,MSE,RMSE,Accuracy,Precision,Recall,F1Score
1,0.17054,0.412965,0.735417,0.470833,0.470833,0.470833
2,0.181539,0.426074,0.68125,0.3625,0.3625,0.3625
3,0.183377,0.428225,0.672917,0.345833,0.345833,0.345833
4,0.183448,0.428308,0.66875,0.3375,0.3375,0.3375
5,0.183101,0.427903,0.66875,0.3375,0.3375,0.3375
6,0.182504,0.427205,0.677083,0.354167,0.354167,0.354167
7,0.181665,0.426221,0.677083,0.354167,0.354167,0.354167
8,0.18056,0.424924,0.683333,0.366667,0.366667,0.366667
9,0.179168,0.423283,0.697917,0.395833,0.395833,0.395833
10,0.177468,0.421269,0.708333,0.416667,0.416667,0.416667
11,0.175446,0.418863,0.720833,0.441667,0.441667,0.441667
12,0.173101,0.416054,0.733333,0.466667,0.466667,0.466667
13,0.170437,0.41284,0.760417,0.520833,0.520833,0.520833
14,0.167473,0.409235,0.76875,0.5375,0.5375,0.5375
15,0.164236,0.40526,0.7875,0.575,0.575,0.575
16,0.160762,0.400951,0.797917,0.595833,0.595833,0.595833
17,0.157094,0.396351,0.808333,0.616667,0.616667,0.616667
18,0.153282,0.391512,0.816667,0.633333,0.633333,0.633333
19,0.149373,0.386488,0.833333,0.666667,0.666667,0.666667
20,0.145418,0.381337,0.854167,0.708333,0.708333,0.708333
21,0.141459,0.37611,0.864583,0.729167,0.729167,0.729167
22,0.137534,0.370856,0.870833,0.741667,0.741667,0.741667
23,0.133676,0.365618,0.883333,0.766667,0.766667,0.766667
24,0.129908,0.360427,0.89375,0.7875,0.7875,0.7875
25,0.126246,0.355311,0.897917,0.795833,0.795833,0.795833
26,0.122701,0.350287,0.902083,0.804167,0.804167,0.804167
27,0.11928,0.345369,0.910417,0.820833,0.820833,0.820833
28,0.115985,0.340565,0.910417,0.820833,0.820833,0.820833
29,0.112814,0.335879,0.922917,0.845833,0.845833,0.845833
30,0.109767,0.331311,0.922917,0.845833,0.845833,0.845833
31,0.106839,0.326862,0.93125,0.8625,0.8625,0.8625
32,0.104026,0.32253,0.935417,0.870833,0.870833,0.870833
33,0.101323,0.318313,0.9375,0.875,0.875,0.875
34,0.0987271,0.314209,0.941667,0.883333,0.883333,0.883333
35,0.0962325,0.310214,0.941667,0.883333,0.883333,0.883333
36,0.0938353,0.306326,0.947917,0.895833,0.895833,0.895833
37,0.0915314,0.302542,0.947917,0.895833,0.895833,0.895833
38,0.0893169,0.298859,0.947917,0.895833,0.895833,0.895833
39,0.0871879,0.295276,0.952083,0.904167,0.904167,0.904167
40,0.0851411,0.29179,0.952083,0.904167,0.904167,0.904167
41,0.083173,0.288397,0.954167,0.908333,0.908333,0.908333
42,0.0812805,0.285097,0.952083,0.904167,0.904167,0.904167
43,0.0794603,0.281887,0.95625,0.9125,0.9125,0.9125
44,0.0777096,0.278764,0.95625,0.9125,0.9125,0.9125
45,0.0760256,0.275727,0.954167,0.908333,0.908333,0.908333
46,0.0744055,0.272774,0.954167,0.908333,0.908333,0.908333
47,0.0728467,0.269901,0.952083,0.904167,0.904167,0.904167
48,0.0713468,0.267108,0.954167,0.908333,0.908333,0.908333
49,0.0699032,0.264392,0.954167,0.908333,0.908333,0.908333
50,0.0685136,0.261751,0.958333,0.916667,0.916667,0.916667
51,0.0671759,0.259183,0.958333,0.916667,0.916667,0.916667
52,0.0658878,0.256686,0.958333,0.916667,0.916667,0.916667
